,clus_wc,rescaled_hits,tot_hits,score_norm,clus_wc_log
0,990,0.0,0,0.0,2.9956351945975497
1,1001,0.5,1,0.0004995004995004995,3.000434077479319
2,994,1.0,1,0.001006036217303823,2.997386384397313
3,985,0.5,1,0.0005076142131979696,2.9934362304976116
4,975,0.0,0,0.0,2.989004615698537
5,1009,0.5,1,0.0004955401387512388,3.0038911662369108
6,1035,0.0,0,0.0,3.0149403497929366
7,990,0.0,0,0.0,2.9956351945975497
8,993,0.5,1,0.0005035246727089627,2.996949248495381
9,995,0.5,1,0.0005025125628140704,2.9978230807457256
10,1016,0.0,0,0.0,3.0068937079479006
11,1018,0.5,1,0.0004911591355599214,3.00774777800074
12,1026,1.0,2,0.0009746588693957114,3.0111473607757975
13,965,0.5,1,0.0005181347150259067,2.9845273133437926
14,961,0.0,0,0.0,2.9827233876685453
15,1028,0.0,0,0.0,3.011993114659257
16,984,1.0,2,0.0010162601626016261,2.9929950984313414
17,1005,0.5,1,0.0004975124378109452,3.002166061756508
18,958,0.5,1,0.0005219206680584551,2.9813655090785445
19,968,0.0,0,0.0,2.9858753573083936
20,1007,1.0,2,0.0009930486593843098,3.003029470553618
21,995,0.5,1,0.0005025125628140704,2.9978230807457256
22,992,0.5,1,0.0005040322580645161,2.9965116721541785
23,1017,0.5,1,0.0004916420845624386,3.0073209529227447
24,976,0.5,1,0.0005122950819672131,2.9894498176666917
25,1010,0.0,0,0.0,3.0043213737826426
26,935,0.5,1,0.0005347593582887701,2.9708116108725178
27,975,0.0,0,0.0,2.989004615698537
28,1024,0.0,0,0.0,3.010299956639812
29,990,0.5,1,0.000505050505050505,2.9956351945975497
